strICD9,strICD10
E81.09,V87.6XXD
E92.90,V87.6XXS
E81.29,V87.7XXA
E81.29,V87.7XXD
E92.90,V87.7XXS
E81.89,V87.8XXA
E81.89,V87.8XXD
E92.90,V87.8XXS
E81.39,V87.9XXA
E81.39,V87.9XXD
E92.90,V87.9XXS
E82.28,V88.0XXA
E82.28,V88.0XXD
E92.90,V88.0XXS
E82.28,V88.1XXA
E82.28,V88.1XXD
E92.90,V88.1XXS
E82.28,V88.2XXA
E82.28,V88.2XXD
E92.90,V88.2XXS
E82.28,V88.3XXA
E82.28,V88.3XXD
E92.90,V88.3XXS
E82.28,V88.4XXA
E82.28,V88.4XXD
E92.90,V88.4XXS
E82.28,V88.5XXA
E82.28,V88.5XXD
E92.90,V88.5XXS
E82.28,V88.6XXA
E82.28,V88.6XXD
E81.88,V78.7XXD
E92.90,V78.7XXS
E81.69,V78.9XXA
E81.69,V78.9XXD
E92.90,V78.9XXS
E82.20,V79.00XA
E82.20,V79.00XD
E92.90,V79.00XS
E82.20,V79.09XA
E82.20,V79.09XD
E92.90,V79.09XS
E82.21,V79.10XA
E82.21,V79.10XD
E92.90,V79.10XS
E82.21,V79.19XA
E82.21,V79.19XD
E92.90,V79.19XS
E82.29,V79.20XA
E82.29,V79.20XD
E92.90,V79.20XS
E82.29,V79.29XA
E82.29,V79.29XD
E92.90,V79.29XS
E92.91,V90.10XS
E83.09,V90.11XA
E83.09,V90.11XD
E92.91,V90.11XS
E83.09,V90.12XA
E83.09,V90.12XD
E92.91,V90.12XS
E83.09,V90.13XA
E83.09,V90.13XD
E92.91,V90.13XS
E83.09,V90.14XA
E83.09,V90.14XD
E92.91,V90.14XS
E83.09,V90.15XA
E83.09,V90.15XD
E92.91,V90.15XS
E83.09,V90.16XA
E83.09,V90.16XD
E92.91,V90.16XS
E83.09,V90.18XA
E83.09,V90.18XD
E92.91,V90.18XS
E83.09,V90.19XA
E92.90,V88.6XXS
E82.28,V88.7XXA
E82.28,V88.7XXD
E92.90,V88.7XXS
E82.28,V88.8XXA
E82.28,V88.8XXD
E92.90,V88.8XXS
E82.28,V88.9XXA
E82.28,V88.9XXD
E92.91,V88.9XXS
E82.59,V89.0XXA
E82.59,V89.0XXD
E92.90,V89.0XXS
E82.99,V89.1XXA
E82.99,V89.1XXD
E92.91,V89.1XXS
E81.99,V89.2XXA
E81.99,V89.2XXD
E92.90,V89.2XXS
E81.99,V89.3XXA
E81.99,V89.3XXD
E92.90,V89.3XXS
E81.99,V89.9XXA
E81.99,V89.9XXD
E92.90,V89.9XXS
E83.09,V90.00XA
E83.09,V90.00XD
E92.91,V90.00XS
E83.09,V90.01XA
E83.09,V90.01XD
E92.91,V90.01XS
E83.09,V90.02XA
E83.09,V90.02XD
E92.91,V90.02XS
E83.09,V90.03XA
E83.09,V90.03XD
E92.91,V90.03XS
E83.09,V90.04XA
E83.09,V90.04XD
E92.91,V90.04XS
E83.09,V90.05XA
E83.09,V90.05XD
E92.91,V90.05XS
E83.09,V90.06XA
E83.09,V90.06XD
E92.91,V90.06XS
E83.09,V90.08XA
E83.09,V90.08XD
E92.91,V90.08XS
E83.09,V90.09XA
E83.09,V90.09XD
E92.91,V90.09XS
E83.09,V90.10XA
E83.09,V90.10XD
E82.50,V79.3XXA
E82.50,V79.3XXD
E92.90,V79.3XXS
E81.20,V79.40XA
E81.20,V79.40XD
E92.90,V79.40XS
E81.20,V79.49XA
E81.20,V79.49XD
E92.90,V79.49XS
E81.21,V79.50XA
E81.21,V79.50XD
E92.90,V79.50XS
E81.21,V79.59XA
E81.21,V79.59XD
E92.90,V79.59XS
E81.29,V79.60XA
E81.29,V79.60XD
E92.90,V79.60XS
E81.29,V79.69XA
E81.29,V79.69XD
E92.90,V79.69XS
E81.20,V79.81XA
E81.20,V79.81XD
E92.90,V79.81XS
E81.20,V79.88XA
E81.20,V79.88XD
E92.90,V79.88XS
E81.20,V79.9XXA
E81.20,V79.9XXD
E92.90,V79.9XXS
E82.82,V80.010A
E82.82,V80.010D
E92.91,V80.010S
E82.82,V80.018A
E82.82,V80.018D
E92.91,V80.018S
E82.73,V80.02XA
E82.73,V80.02XD
E92.91,V80.02XS
E82.82,V80.11XA
E82.82,V80.11XD
E92.91,V80.11XS
E82.73,V80.12XA
E82.73,V80.12XD
E92.91,V80.12XS
E82.62,V80.21XA
E82.62,V80.21XD
E92.91,V80.21XS
E82.63,V80.22XA
E82.63,V80.22XD
E92.91,V80.22XS
E81.35,V80.31XA
E81.35,V80.31XD
E92.90,V80.31XS
E81.35,V80.32XA
E81.35,V80.32XD
E92.90,V80.32XS
E81.35,V80.41XA
E81.35,V80.41XD
E92.90,V80.41XS
E81.35,V80.42XA
E81.35,V80.42XD
E92.90,V80.42XS
E81.35,V80.51XA
E81.35,V80.51XD
E92.90,V80.51XS
E81.35,V80.52XA
E81.35,V80.52XD
E92.90,V80.52XS
E80.18,V80.61XA
E80.18,V80.61XD
E92.91,V80.61XS
E80.18,V80.62XA
E80.18,V80.62XD
E92.91,V80.62XS
E82.72,V80.710A
E82.72,V80.710D
E92.91,V80.710S
E82.73,V80.711A
E82.73,V80.711D
E92.91,V80.711S
E82.72,V80.720A
E82.72,V80.720D
E92.91,V80.720S
E82.73,V80.721A
E82.73,V80.721D
E92.91,V80.721S
E82.82,V80.730A
E82.82,V80.730D
E92.91,V80.730S
E82.73,V80.731A
E82.73,V80.731D
E92.91,V80.731S
E82.82,V80.790A
E82.82,V80.790D
E92.91,V80.790S
E82.73,V80.791A
E82.73,V80.791D
E92.91,V80.791S
E82.82,V80.81XA
E82.82,V80.81XD
E92.91,V80.81XS
E82.73,V80.82XA
E82.73,V80.82XD
E92.91,V80.82XS
E82.82,V80.910A
E82.82,V80.910D
E92.91,V80.910S
E82.82,V80.918A
E82.82,V80.918D
E92.91,V80.918S
E82.82,V80.919A
E82.82,V80.919D
E92.91,V80.919S
E82.73,V80.920A
E82.73,V80.920D
E92.91,V80.920S
E82.73,V80.928A
E82.73,V80.928D
E92.91,V80.928S
E82.73,V80.929A
E82.73,V80.929D
E92.91,V80.929S
E82.28,V81.0XXA
E82.28,V81.0XXD
E92.90,V81.0XXS
E81.08,V81.1XXA
E81.08,V81.1XXD
E92.90,V81.1XXS
E80.01,V81.2XXA
E80.01,V81.2XXD
E92.91,V81.2XXS
E80.11,V81.3XXA
E80.11,V81.3XXD
E92.91,V81.3XXS
E80.41,V81.4XXA
E80.41,V81.4XXD
E92.91,V81.4XXS
E80.41,V81.5XXA
E80.41,V81.5XXD
E92.91,V81.5XXS
E80.41,V81.6XXA
E80.41,V81.6XXD
E92.91,V81.6XXS
E80.21,V81.7XXA
E80.21,V81.7XXD
E92.91,V81.7XXS
E80.31,V81.81XA
E80.31,V81.81XD
E92.91,V81.81XS
E80.61,V81.82XA
E80.61,V81.82XD
E92.91,V81.82XS
E80.61,V81.83XA
E80.61,V81.83XD
E92.91,V81.83XS
E80.61,V81.89XA
E80.61,V81.89XD
E92.91,V81.89XS
E80.71,V81.9XXA
E80.71,V81.9XXD
E92.91,V81.9XXS
E82.24,V82.0XXA
E82.24,V82.0XXD
E92.90,V82.0XXS
E81.34,V82.1XXA
E81.34,V82.1XXD
E92.90,V82.1XXS
E80.19,V82.2XXA
E80.19,V82.2XXD
E92.91,V82.2XXS
E82.94,V82.3XXA
E82.94,V82.3XXD
E92.91,V82.3XXS
E82.94,V82.4XXA
E82.94,V82.4XXD
E92.91,V82.4XXS
E82.94,V82.5XXA
E82.94,V82.5XXD
E92.91,V82.5XXS
E82.94,V82.6XXA
E82.94,V82.6XXD
E92.91,V82.6XXS
E82.94,V82.7XXA
E82.94,V82.7XXD
E92.91,V82.7XXS
E82.94,V82.8XXA
E82.94,V82.8XXD
E92.91,V82.8XXS
E82.94,V82.9XXA
E82.94,V82.9XXD
E92.91,V82.9XXS
E84.6,V83.0XXA
E84.6,V83.0XXD
E92.91,V83.0XXS
E84.6,V83.1XXA
E84.6,V83.1XXD
E92.91,V83.1XXS
E84.6,V83.2XXA
E84.6,V83.2XXD
E92.90,V69.10XS
E82.21,V69.19XA
E82.21,V69.19XD
E92.90,V69.19XS
E82.29,V69.20XA
E82.29,V69.20XD
E92.90,V69.20XS
E82.29,V69.29XA
E82.29,V69.29XD
E92.90,V69.29XS
E82.50,V69.3XXA
E82.50,V69.3XXD
E92.90,V69.3XXS
E81.20,V69.40XA
E81.20,V69.40XD
E92.90,V69.40XS
E81.20,V69.49XA
E81.20,V69.49XD
E92.90,V69.49XS
E81.21,V69.50XA
E81.21,V69.50XD
E92.90,V69.50XS
E81.21,V69.59XA
E81.21,V69.59XD
E92.90,V69.59XS
E81.29,V69.60XA
E81.29,V69.60XD
E92.90,V69.60XS
E81.29,V69.69XA
E81.29,V69.69XD
E92.90,V69.69XS
E81.20,V69.81XA
E81.20,V69.81XD
E92.90,V69.81XS
E81.20,V69.88XA
E81.20,V69.88XD
E92.90,V69.88XS
E81.20,V69.9XXA
E81.90,V69.9XXA
E81.20,V69.9XXD
E92.90,V69.9XXS
E82.20,V70.0XXA
E82.20,V70.0XXD
E92.90,V70.0XXS
E92.90,V84.4XXS
E82.20,V84.5XXA
E82.20,V84.5XXD
E92.90,V84.5XXS
E82.21,V84.6XXA
E82.21,V84.6XXD
E92.90,V84.6XXS
E82.28,V84.7XXA
E82.28,V84.7XXD
E92.90,V84.7XXS
E82.29,V84.9XXA
E82.29,V84.9XXD
E92.90,V84.9XXS
E81.20,V85.0XXA
E81.20,V85.0XXD
E92.90,V85.0XXS
E81.21,V85.1XXA
E81.21,V85.1XXD
E92.90,V85.1XXS
E81.28,V85.2XXA
E81.28,V85.2XXD
E92.90,V85.2XXS
E81.29,V85.3XXA
E92.91,V83.2XXS
E84.6,V83.3XXA
E84.6,V83.3XXD
E92.91,V83.3XXS
E84.6,V83.4XXA
E84.6,V83.4XXD
E92.91,V83.4XXS
E84.6,V83.5XXA
E84.6,V83.5XXD
E92.91,V83.5XXS
E84.6,V83.6XXA
E84.6,V83.6XXD
E92.91,V83.6XXS
E84.6,V83.7XXA
E84.6,V83.7XXD
E92.91,V83.7XXS
E84.6,V83.9XXA
E84.6,V83.9XXD
E92.91,V83.9XXS
E81.20,V84.0XXA
E81.20,V84.0XXD
E92.90,V84.0XXS
E81.21,V84.1XXA
E81.21,V84.1XXD
E92.90,V84.1XXS
E81.28,V84.2XXA
E81.28,V84.2XXD
E92.90,V84.2XXS
E81.29,V84.3XXA
E81.29,V84.3XXD
E92.90,V84.3XXS
E82.48,V84.4XXA
E82.48,V84.4XXD
E82.21,V70.1XXA
E82.21,V70.1XXD
E92.90,V70.1XXS
E82.28,V70.2XXA
E82.28,V70.2XXD
E92.90,V70.2XXS
E82.29,V70.3XXA
E82.29,V70.3XXD
E92.90,V70.3XXS
E82.48,V70.4XXA
E82.48,V70.4XXD
E92.90,V70.4XXS
E81.40,V70.5XXA
E81.40,V70.5XXD
E92.90,V70.5XXS
E81.41,V70.6XXA
E81.41,V70.6XXD
E92.90,V70.6XXS
E81.48,V70.7XXA
E81.48,V70.7XXD
E92.90,V70.7XXS
E81.49,V70.9XXA
E81.49,V70.9XXD
E92.90,V70.9XXS
E82.20,V71.0XXA
E82.20,V71.0XXD
E92.90,V71.0XXS
E82.21,V71.1XXA
E82.21,V71.1XXD
E92.90,V71.1XXS
E82.28,V71.2XXA
E82.28,V71.2XXD
E92.90,V71.2XXS
E82.29,V71.3XXA
E82.29,V71.3XXD
E92.90,V71.3XXS
E82.48,V71.4XXA
E82.48,V71.4XXD
E92.90,V71.4XXS
E81.30,V71.5XXA
E81.30,V71.5XXD
E92.90,V71.5XXS
E81.31,V71.6XXA
E81.31,V71.6XXD
E92.90,V71.6XXS
E81.38,V71.7XXA
E81.38,V71.7XXD
E92.90,V71.7XXS
E81.39,V71.9XXA
E81.39,V71.9XXD
E92.90,V71.9XXS
E82.20,V72.0XXA
E82.20,V72.0XXD
E92.90,V72.0XXS
E82.21,V72.1XXA
E82.21,V72.1XXD
E92.90,V72.1XXS
E82.28,V72.2XXA
E82.28,V72.2XXD
E92.90,V72.2XXS
E82.29,V72.3XXA
E82.29,V72.3XXD
E92.90,V72.3XXS
E82.48,V72.4XXA
E82.48,V72.4XXD
E92.90,V72.4XXS
E81.20,V72.5XXA
E81.20,V72.5XXD
E92.90,V72.5XXS
E81.21,V72.6XXA
E81.21,V72.6XXD
E92.90,V72.6XXS
E81.28,V72.7XXA
E81.28,V72.7XXD
E92.90,V72.7XXS
E81.29,V72.9XXA
E81.29,V72.9XXD
E92.90,V72.9XXS
E82.20,V73.0XXA
E82.20,V73.0XXD
E92.90,V73.0XXS
E82.21,V73.1XXA
E82.21,V73.1XXD
E92.90,V73.1XXS
E82.28,V73.2XXA
E82.28,V73.2XXD
E92.90,V73.2XXS
E82.29,V73.3XXA
E82.29,V73.3XXD
E92.90,V73.3XXS
E82.48,V73.4XXA
E82.48,V73.4XXD
E92.90,V73.4XXS
E81.20,V73.5XXA
E81.20,V73.5XXD
E92.90,V73.5XXS
E81.21,V73.6XXA
E81.21,V73.6XXD
E92.90,V73.6XXS
E81.28,V73.7XXA
E81.28,V73.7XXD
E92.90,V73.7XXS
E81.29,V73.9XXA
E81.29,V73.9XXD
E92.90,V73.9XXS
E82.20,V74.0XXA
E82.20,V74.0XXD
E92.90,V74.0XXS
E82.21,V74.1XXA
E82.21,V74.1XXD
E92.90,V74.1XXS
E82.28,V74.2XXA
E82.28,V74.2XXD
E92.90,V74.2XXS
E82.29,V74.3XXA
E82.29,V74.3XXD
E92.90,V74.3XXS
E82.48,V74.4XXA
E82.48,V74.4XXD
E92.90,V74.4XXS
E81.20,V74.5XXA
E81.20,V74.5XXD
E92.90,V74.5XXS
E81.21,V74.6XXA
E81.21,V74.6XXD
E92.90,V74.6XXS
E81.28,V74.7XXA
E81.28,V74.7XXD
E92.90,V74.7XXS
E81.29,V74.9XXA
E81.29,V74.9XXD
E92.90,V74.9XXS
E82.20,V75.0XXA
E82.20,V75.0XXD
E92.90,V75.0XXS
E82.21,V75.1XXA
E82.21,V75.1XXD
E92.90,V75.1XXS
E82.28,V75.2XXA
E82.28,V75.2XXD
E92.90,V75.2XXS
E82.29,V75.3XXA
E82.29,V75.3XXD
E92.90,V75.3XXS
E82.48,V75.4XXA
E82.48,V75.4XXD
E92.90,V75.4XXS
E81.00,V75.5XXA
E81.00,V75.5XXD
E92.90,V75.5XXS
E81.01,V75.6XXA
E81.01,V75.6XXD
E92.90,V75.6XXS
E81.08,V75.7XXA
E81.08,V75.7XXD
E92.90,V75.7XXS
E81.09,V75.9XXA
E81.09,V75.9XXD
E92.90,V75.9XXS
E82.20,V76.0XXA
E82.20,V76.0XXD
E92.90,V76.0XXS
E82.21,V76.1XXA
E82.21,V76.1XXD
E92.90,V76.1XXS
E82.28,V76.2XXA
E82.28,V76.2XXD
E92.90,V76.2XXS
E82.29,V76.3XXA
E82.29,V76.3XXD
E92.90,V76.3XXS
E82.48,V76.4XXA
E82.48,V76.4XXD
E92.90,V76.4XXS
E81.30,V76.5XXA
E81.30,V76.5XXD
E92.90,V76.5XXS
E81.31,V76.6XXA
E81.31,V76.6XXD
E92.90,V76.6XXS
E81.38,V76.7XXA
E81.38,V76.7XXD
E92.90,V76.7XXS
E81.39,V76.9XXA
E81.39,V76.9XXD
E92.90,V76.9XXS
E82.30,V77.0XXA
E82.30,V77.0XXD
E92.90,V77.0XXS
E82.31,V77.1XXA
E82.31,V77.1XXD
E92.90,V77.1XXS
E82.38,V77.2XXA
E82.38,V77.2XXD
E92.90,V77.2XXS
E82.39,V77.3XXA
E82.39,V77.3XXD
E92.90,V77.3XXS
E82.48,V77.4XXA
E82.48,V77.4XXD
E92.90,V59.3XXS
E81.20,V59.40XA
E81.20,V59.40XD
E92.90,V59.40XS
E81.20,V59.49XA
E81.20,V59.49XD
E92.90,V59.49XS
E81.21,V59.50XA
E81.21,V59.50XD
E92.90,V59.50XS
E81.21,V59.59XA
E81.21,V59.59XD
E92.90,V59.59XS
E81.29,V59.60XA
E81.29,V59.60XD
E92.90,V59.60XS
E81.29,V59.69XA
E81.29,V59.69XD
E92.90,V59.69XS
E81.21,V59.81XA
E81.21,V59.81XD
E92.90,V59.81XS
E81.21,V59.88XA
E81.21,V59.88XD
E92.90,V59.88XS
E81.90,V59.9XXA
E81.90,V59.9XXD
E92.90,V59.9XXS
E82.20,V60.0XXA
E82.20,V60.0XXD
E92.90,V60.0XXS
E82.21,V60.1XXA
